,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
What is the problem you want to solve?,Date Submitted,"Who is the customer?
(Paying Customer - Admin, User or Internal Customer - Marketing)",Country,"How do we know it's a problem? (Admin, manager, user, prospect)",Business case: Estimated impact (+assumptions),Proposed Solution (Optional),Customer type - Global/Complex/ Simple,Customer Game Score,"Company Size <100, 101 - 250, 250 - 2000, 2000+",Industry,Link to call recording,Submitted by,Which Team do you expect to pick up?,Status,Reason,Product Manager,Product,Priority,T-shirt sizing estimate (XS < 2 days; S < 2 weeks; M < 4 weeks; L < 8 weeks; XL > 8 weeks),Date submitted,Dependencies,Title,Problem,Solution,Feasibility
"EAP solutions offered globally - I've had multiple admins reaching out following the news of the migration to Vivup EAP, asking whether we could come up with a global solution for the EAP. Vivup offering is for UK and the Republic of Ireland, but perhaps we could add somethign into the platform, where global employees can be connected with that service as well, especially that it's 24/7? ",28/08/2024,Internal - multiple clients flagging the interest in global solutions,Global,Admin,Create upsell opportunities to increase revenue ,"Perhaps we could add a button that usesr could click on and be connected with the EAP service, if they're based in a different countries than UK/Ireland",Global,N/A,N/A,Internal,N/A,Ewelina Dudzik,Perks & Mobile,Not Priority,"Ewelina Dudzik while his sounds like a really great offering, it might not be the most scaleable for all countries especially considering the varying regulations (tax and otherwise) around EAP in each country. Having said that, there might be appetitie to explore something for AU. ",,,,,,
"Do we have any plans for users to be able to upload photos and images to the celebration hub? I know this has come up before so just wanted to ask! A prospect, Konecta 400 employees, asked if it would be possible and thought it would be a great way to connect their remote workforce ",28/08/24,Prospect,Global,Admin,Competitive advantage agaisnt the comp,Photos to be able to be shared on Celebration HUb,Global,NA,400,IT Services,https://us-30924.app.gong.io/call?id=2216528640377682997&selected-id=2545183766927740147,Kelly Short,Recognition & Rewards,Under Consideration,,,,,,,
User complaint about marking vouchers as used being confusing on mobile.,30/08/24,User,UK,User,Better user experience,Make UI more  clear to make vouchers as read on the app,,,250-2000,,,Bernadette Wong,Perks & Mobile,Under Consideration,Bernadette Wong we've made some changes recently to the order history page but we continue to explore opportunities with the theme of making the UX simpler ,,,,,,
"Hi team, this user has provided some feedback for the Order History page. They have suggested that there should be a feature that allows them to mark a single voucher as 'used', even if they bought several others in the same transaction. The example they provided was Caffe Nero - they shared that they often buy several Caffe Nero vouchers in one go, but when they mark the redemption as 'used' on their Order History, all the vouchers from that transaction are archived. The user would like the ability to only mark one of the selection as 'used', to keep better track of their vouchers.",30/08/24,iPipeline Ltd,UK,User,Better user experience,"A similar button to the current config, except it appears on each individual voucher from a redemption, and will only move that single voucher to the 'used' tab rather than every one from that transaction.",Large Global,120,500-999,Corporate Services,N/A,Sofie White,Perks & Mobile,Under Consideration,Sofie White this is something we can consider as part of our app experience changes,,,,,,
Could we please add a sharing permissions option for Greetings cards and birthday automations so that they don't end up clogging a Celebration feed and masking actual recognitions,02/09/24,Cicor,UK,Admin,Better admin experience - they can more easily see things that people have ben recognised for that aren't circumstantial,Add a sharing permissions option for Greeting Cards and also automations,Simple Domestic,120,101-250,Manufacturing,,Ellie Farley,Customer Experience,,,,,,,,
Lack of Cinema and Gym discounts for ROI and NI,03/09/04,SF,Global,"Admin, User",Low utilisation for users in those markets may impact renewal likelihood,Expanding the Perks catalogue for these markets,Complex Domestic,80,2000+,Healthcare,n/a,Sagal Ali,Perks & Mobile,Under Consideration,Sagal Ali the partnerships team is reviewing opportunities for this,,,,,,
"""It would be really helpful if the platform could automatically send a monthly report to team managers with all upcoming anniversaries and birthdays in their team. This way, they could prepare a personalized greeting card for each employee in addition to the automated messages.
""",05/09/24,Northcott,AU,Admin,"better engagement, improved visibility",a monthly report ,Complex dom,,2600,"Civic, Non-Profit and Membership Organizations",,Kate Sukhacheva,Recognition & Rewards,Under Consideration,,,,,,,
"Feedback on a new authentification process: 
The app is defaulted to selecting a UK number. The flag is there to select a new country code, but there's no box or drop down button, just a picture of a flag. So, we've had some staff having issues with not knowing what to do here.
There is also no box for the person to type in their phone number, it's just a white background. Which again, confuses some users.
And for me personally, I am not able to verify/authenticate my phone number via the app. I get a spinning circle on the submit button. However, I can verify via the website and using the Authenticator app.",05/09/24,C.EX Group,AU,Admin ,,,Simple Domestic,,,,,,Customer Experience,,,,,,,,
Feedback Admin wants to give £150 to users but wants the functionality to claim back reward points as could loose money if users leave an dont spend,05/09/24,Irwell Valley HA,UK ,Admin,Save money as £150 is to help users with cost of living but worriies some wont use and leave - Meaning customer will loose funds ,Option for admin to claim back Reward points from users,Complex dom,,302,Non - profit housing association ,https://us-30924.app.gong.io/call?id=5452932780541699676&account-id=7549746846206960470,Aneasa Hussain,Recognition & Rewards,Not Priority,"Aneasa Hussain- points once sent to users cannot be reclaimed. We have answered such objections by mentioning the reminders we send to users to nudge them to spend points, emphasising that we see a high burn. Reclaiming points from user wallets is not a prority at this time. ",Hardeep ,,,,,
Admin wants to be able to add automation that just emails users and leave of celebration hubfeed - Some users dont want birthday messages posting on feed for all company to see but admin would love to still sent email to say happy birthday to users,05/09/24,UK Biobank Ltd,UK ,Admin ,Helps with still using automation but some employees dont want to share birthday with whole company ,Add a tick box option when creation autoamtion - To leave message off the celebration hub feed,Complex dom,,295,Biomedical,https://us-30924.app.gong.io/call?id=7738884873422661666&account-id=8785043614375803361,Aneasa Hussain,Recognition & Rewards,Under Consideration,Noted on the feedback Aneasa Hussain. Will keep an eye out for more feedback of this nature to work towards prioritisation. It is not on the roadmap at this time. ,Hardeep ,,,,,
Budgeting tool: Admin would like to be able to have more options with the budgeting tool. They mentioned something similar to having a joint account with Monzo where you can share all the 'pots' with admins (and option to open up to managers) so they can pull from any pots and make edits as required. They feel the budgeting tool for now is too restrictive and creates more work for them as they can't set the full budget up for everyone to use in one go. They use Mo for now and said this is possible on there.,05/09/24,Punch Pubs,UK,Admin,Admin doesn't currently use our reward due to what they called 'poor edit and control options'. ,"Have more functionality in the budgeting tool, to be treated as joint pots across admins and managers on the tenant",Domestic,,,Corporate services (offices only),,Catherine Adamson,Recognition & Rewards,Under Consideration,Catherine Adamson- this is under consideration. We are in discovery phase of figuring out how may we enable sharing of budgets. ,Hardeep ,,,,,
